n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
2016,52.40748683499998,-0.4663420376019063,-0.9340862810789271,0.026381160774295274,1.2432853043744359,0.021218911444922984,2575.8081196894937,val,exposure,2,0.32,0.47000000116300944,40-60,0.39283059000291365
2070,141.967873879771,-0.5801756230493905,-0.9352961346364174,-0.21245399808047583,1.1871344537674708,-0.17896372007925068,-4511.8752835602445,val,exposure,2,0.32,0.47000000116300944,60-80,0.39283059000291365
746,364.23528794999993,-0.3901456474974838,-0.9329318150842796,0.18936560320118362,1.2598557277621583,0.1503073717317996,-3309.2716540107613,val,exposure,2,0.32,0.47000000116300944,80-100,0.39283059000291365
2636,6.396227454999071,-0.33760961632146663,-0.814400786838483,0.09039058113482262,1.3622978862387622,0.06635155353898889,-1316.9355793126542,test,exposure,2,0.31,0.42,0-20,0.36159328476300234
2552,19.00186466,-0.36579982713841896,-0.8146300577501607,0.02286769791700188,1.3401069915348824,0.01706408373469533,-5059.627828380584,test,exposure,2,0.31,0.42,20-40,0.36159328476300234
1703,49.07385954000002,-0.3172610185512126,-0.8140970491894762,0.13936043620095198,1.3782599149099748,0.10111332027678882,1109.4852182777322,test,exposure,2,0.31,0.42,40-60,0.36159328476300234
1903,140.10434244999996,-0.4007818338396912,-0.8149694791470501,-0.06138314295064717,1.3042560967504642,-0.04706371939037311,-26644.910629955553,test,exposure,2,0.31,0.42,60-80,0.36159328476300234
886,370.3307532049997,-0.21807308681672655,-0.8130116638950601,0.35337203499804354,1.3815247248919584,0.255784083072186,10736.239716432217,test,exposure,2,0.31,0.42,80-100,0.36159328476300234
2809,3.8800169999999174,-0.2890885305807959,0.10878006526536077,0.03578872956460889,1.0083567616091977,0.0354921302927498,-2060.0143234375905,test,exposure,3,0.42,0.625,0-20,0.5049802606842284
1867,19.519726159999983,-0.3271251060746836,-0.823542862977941,-0.024893812130225703,1.0332413697449547,-0.02409293013148563,-679.6769842758285,test,exposure,3,0.42,0.625,20-40,0.5049802606842284
1802,53.336526109999966,-0.29996618556334087,0.10509494829223856,0.010809624970317174,1.0022263644868785,0.010785612266198468,1162.2397299693966,test,exposure,3,0.42,0.625,40-60,0.5049802606842284
1816,125.61975369437138,-0.2893241399666468,0.10705181081283141,0.031694788206527436,1.001520058646865,0.03164668339179314,6714.082641481745,test,exposure,3,0.42,0.625,60-80,0.5049802606842284
1219,396.0853494399999,-0.24857252784007508,0.11716069604213367,0.10182294900771163,0.9790800266127831,0.10399859688689334,57577.98693664041,test,exposure,3,0.42,0.625,80-100,0.5049802606842284
1951,1.074781110000134,-0.1618667730388752,-0.05757562525572371,0.10298188355523569,0.49018728120625654,0.21008681274189142,203.28707128938336,test,exposure,4,0.625,0.9990000000000002,0-20,0.8024415383723524
1113,26.45089262999994,-0.28768330056070796,-0.12218069435119089,-0.09946164103208743,0.5999105658275496,-0.16579411448585601,-2837.433551492759,test,exposure,4,0.625,0.9990000000000002,20-40,0.8024415383723524
1847,66.80703323300008,-0.19556317040785373,-0.10074251789578267,0.048646170676254645,0.48843746217668915,0.09959549470154523,-11095.437953108507,test,exposure,4,0.625,0.9990000000000002,40-60,0.8024415383723524
2415,129.2525410799939,-0.1506927373111528,-0.09508138057979384,0.11882903370197777,0.4040109435545495,0.2941233043256253,-14805.60022647579,test,exposure,4,0.625,0.9990000000000002,60-80,0.8024415383723524
2069,562.5,-0.20058612802780423,-0.15650785079021387,0.04866625479142404,0.4318491749013128,0.11269271222422822,79131.08665573325,test,exposure,4,0.625,0.9990000000000002,80-100,0.8024415383723524
3320,5.900702597301988,-0.6334633752793087,-0.7885173764868911,-0.11824954698303648,3.2064872768787063,-0.036878221172342913,-1195.9765489607892,test,exposure,0,0.0010000000000000009,0.190000002268,0-20,0.12332505408653908
2834,20.15514762500003,-0.5701102234661988,-0.7881327995894536,0.23466739095560776,3.4982207056411565,0.06708192841497625,6716.136839312853,test,exposure,0,0.0010000000000000009,0.190000002268,20-40,0.12332505408653908
1873,64.8642176329778,-0.5470893731390803,-0.7900724213684046,0.31823038331766634,3.7697138533140344,0.08441764964147168,27665.566132841275,test,exposure,0,0.0010000000000000009,0.190000002268,40-60,0.12332505408653908
1086,109.33726133500002,-0.5536839587120933,-0.792787888752093,1.0305335883723965,7.960120315927453,0.12946206181210548,45892.784111607754,test,exposure,0,0.0010000000000000009,0.190000002268,60-80,0.12332505408653908
560,219.43426034000004,-0.5984100518180113,-0.7939872512727195,0.7526988245607135,8.115932611643757,0.09274335564107966,20686.375235331478,test,exposure,0,0.0010000000000000009,0.190000002268,80-100,0.12332505408653908
2845,6.1718678300002345,-0.5184526600046657,-0.8055066306339562,-0.1272614413219915,1.6927345917125516,-0.07518097754074972,-195.4692584091997,test,exposure,1,0.19000000331363695,0.31,0-20,0.24683862656487918
2726,18.626738880000037,-0.5048700207231832,-0.8055066306339562,-0.07083803050500527,1.754281771018052,-0.04038007558152773,-5517.671070168504,test,exposure,1,0.19000000331363695,0.31,20-40,0.24683862656487918
1860,49.711487270082685,-0.4809079783196621,-0.8048377974316647,-0.013623087098397197,1.7666162589484713,-0.00771140140332794,-20541.145230947724,test,exposure,1,0.19000000331363695,0.31,40-60,0.24683862656487918
1680,132.71367002000102,-0.5280848267788857,-0.8059301362413416,-0.15782471129274214,1.666345717746554,-0.09471306560932201,-12962.310012037535,test,exposure,1,0.19000000331363695,0.31,60-80,0.24683862656487918
599,278.5692,-0.38410660664748786,-0.8049742833947672,0.24870822981171908,1.8641020848519785,0.13341985497080117,6678.577326312223,test,exposure,1,0.19000000331363695,0.31,80-100,0.24683862656487918
